ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE_MIN,MONTHS_BALANCE_MAX,COUNT_LATE_LAST_12M,TARGET,AGE,YEARS_EMPLOYED,INCOME_GROUP,AGE_GROUP,EDUCATION_RANK,AMT_INCOME_TOTAL_CAPPED,CREDIT_HISTORY_LENGTH
5008830,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,-31,0,0,0,27.5,4.0,Very High,18-29,1,157500.0,-31
5008831,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,-19,0,9,0,27.5,4.0,Very High,18-29,1,157500.0,-19
5008832,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,-34,0,0,0,27.5,4.0,Very High,18-29,1,157500.0,-34
5008834,F,0,1,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,Unknown,2.0,-44,0,0,0,30.0,4.4,Very High,18-29,1,112500.0,-44
5008835,F,0,1,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,Unknown,2.0,-44,-28,0,0,30.0,4.4,Very High,18-29,1,112500.0,-16
5008836,M,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5.0,-24,-8,0,0,34.8,3.2,Very High,30-39,1,270000.0,-16
5008837,M,1,1,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5.0,-18,-2,0,0,34.8,3.2,Very High,30-39,1,270000.0,-16
5008838,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,-39,-9,3,0,32.4,5.5,Very High,30-39,3,380250.0,-30
5008839,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,-13,0,9,0,32.4,5.5,Very High,30-39,3,380250.0,-13
5008840,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,-55,0,0,0,32.4,5.5,Very High,30-39,3,380250.0,-55
5008841,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,-4,0,4,0,32.4,5.5,Very High,30-39,3,380250.0,-4
5008842,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,-8,0,9,0,32.4,5.5,Very High,30-39,3,380250.0,-8
5008843,M,0,1,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,-29,0,0,0,32.4,5.5,Very High,30-39,3,380250.0,-29
5008844,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,-43,-11,0,0,56.2,12.2,Very High,50-59,1,112500.0,-32
5008846,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,-11,0,12,0,56.2,12.2,Very High,50-59,1,112500.0,-11
5008847,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,-46,-14,0,0,56.2,12.2,Very High,50-59,1,112500.0,-32
5008849,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,-51,-40,0,0,56.2,12.2,Very High,50-59,1,112500.0,-11
5008850,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,-25,0,13,0,56.2,12.2,Very High,50-59,1,112500.0,-25
5008851,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,-11,0,12,0,56.2,12.2,Very High,50-59,1,112500.0,-11
5008852,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,0,0,1,0,56.2,12.2,Very High,50-59,1,112500.0,0
5008853,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,-39,-24,0,0,56.2,12.2,Very High,50-59,1,112500.0,-15
5008854,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-39,-38,0,0,43.2,8.7,Very High,40-49,1,135000.0,-1
5008855,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-28,0,0,0,43.2,8.7,Very High,40-49,1,135000.0,-28
5008856,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-3,0,4,0,43.2,8.7,Very High,40-49,1,135000.0,-3
5008857,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-27,0,0,0,43.2,8.7,Very High,40-49,1,135000.0,-27
5008858,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-10,0,10,0,43.2,8.7,Very High,40-49,1,135000.0,-10
5008859,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-4,0,5,0,43.2,8.7,Very High,40-49,1,135000.0,-4
5008860,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-3,0,3,0,43.2,8.7,Very High,40-49,1,135000.0,-3
5008861,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-3,0,3,0,43.2,8.7,Very High,40-49,1,135000.0,-3
5008862,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-2,0,2,0,43.2,8.7,Very High,40-49,1,135000.0,-2
5008863,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-2,-1,2,0,43.2,8.7,Very High,40-49,1,135000.0,-1
5008864,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-2,0,2,0,43.2,8.7,Very High,40-49,1,135000.0,-2
5008865,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-8,-7,2,0,43.2,8.7,Very High,40-49,1,135000.0,-1
5008866,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-19,-18,0,0,43.2,8.7,Very High,40-49,1,135000.0,-1
5008867,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-25,-22,0,0,43.2,8.7,Very High,40-49,1,135000.0,-3
5112846,F,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,-18,-15,0,0,43.2,8.7,Very High,40-49,1,135000.0,-3
5008868,F,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3.0,-24,0,13,0,44.4,19.4,Very High,40-49,1,211500.0,-24
5008870,F,0,1,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3.0,-20,-9,4,0,44.4,19.4,Very High,40-49,1,211500.0,-11
5008872,M,1,1,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2.0,-10,0,9,0,45.7,14.7,Very High,40-49,1,360000.0,-10
5008873,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-21,0,0,0,34.0,4.9,Very High,30-39,3,126000.0,-21
5008874,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-45,0,0,0,34.0,4.9,Very High,30-39,3,126000.0,-45
5008875,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-39,0,0,0,34.0,4.9,Very High,30-39,3,126000.0,-39
5008876,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-43,0,0,0,34.0,4.9,Very High,30-39,3,126000.0,-43
5008877,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-7,0,6,0,34.0,4.9,Very High,30-39,3,126000.0,-7
5008878,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-43,-32,0,0,34.0,4.9,Very High,30-39,3,126000.0,-11
5008879,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-21,0,0,0,34.0,4.9,Very High,30-39,3,126000.0,-21
5008880,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-10,0,6,0,34.0,4.9,Very High,30-39,3,126000.0,-10
5008881,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-19,0,0,0,34.0,4.9,Very High,30-39,3,126000.0,-19
5008882,F,0,1,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,-45,-6,0,0,34.0,4.9,Very High,30-39,3,126000.0,-39
5008884,F,0,1,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,1,0,0,0,Unknown,1.0,-40,0,0,0,55.3,0.0,Very High,50-59,1,315000.0,-40
5008888,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1.0,-11,-6,4,0,46.6,3.7,Very High,40-49,3,247500.0,-5
5008889,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1.0,-4,0,3,0,46.6,3.7,Very High,40-49,3,247500.0,-4
5008890,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1.0,-48,-43,0,0,46.6,3.7,Very High,40-49,3,247500.0,-5
5112847,F,0,1,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1.0,-25,-20,0,0,46.6,3.7,Very High,40-49,3,247500.0,-5
5008891,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-7,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-7
5008892,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-37,-22,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008893,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-36,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-36
5008894,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-36,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-36
5008895,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-34,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-34
5008896,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-34,-19,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008897,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-32,-17,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008898,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-31,-11,0,0,42.5,8.9,Very High,40-49,1,297000.0,-20
5008899,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-30,-15,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008900,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-29,-9,0,0,42.5,8.9,Very High,40-49,1,297000.0,-20
5008901,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-27,-12,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008902,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-27,-7,0,0,42.5,8.9,Very High,40-49,1,297000.0,-20
5008903,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-27,-12,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008904,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-26,-6,0,0,42.5,8.9,Very High,40-49,1,297000.0,-20
5008905,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-25,-10,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008906,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-24,-4,0,0,42.5,8.9,Very High,40-49,1,297000.0,-20
5008907,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-23,-8,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008908,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-22,-2,2,0,42.5,8.9,Very High,40-49,1,297000.0,-20
5008909,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-22,-7,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008910,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-21,-1,3,0,42.5,8.9,Very High,40-49,1,297000.0,-20
5008911,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-21,-6,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008912,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-20,0,4,0,42.5,8.9,Very High,40-49,1,297000.0,-20
5008913,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-19,-4,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008914,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-18,0,6,0,42.5,8.9,Very High,40-49,1,297000.0,-18
5008915,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-18,-3,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008916,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-17,0,7,0,42.5,8.9,Very High,40-49,1,297000.0,-17
5008917,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-17,-2,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008918,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-16,0,8,0,42.5,8.9,Very High,40-49,1,297000.0,-16
5008919,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-15,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008920,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-15,0,9,0,42.5,8.9,Very High,40-49,1,297000.0,-15
5008921,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-13,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-13
5008922,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-13,0,11,0,42.5,8.9,Very High,40-49,1,297000.0,-13
5008923,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-12,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-12
5008924,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-12,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-12
5008925,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-12,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-12
5008926,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-11,0,11,0,42.5,8.9,Very High,40-49,1,297000.0,-11
5008927,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-9,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-9
5008928,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-9,0,9,0,42.5,8.9,Very High,40-49,1,297000.0,-9
5008929,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-7,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-7
5008930,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-6,0,6,0,42.5,8.9,Very High,40-49,1,297000.0,-6
5008931,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-5,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-5
5008932,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-5,0,5,0,42.5,8.9,Very High,40-49,1,297000.0,-5
5008933,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-5,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-5
5008934,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-4,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-4
5008935,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-4,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-4
5008936,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-3,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-3
5008937,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-1,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-1
5008938,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-1,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-1
5008939,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,0,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,0
5008940,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-1,0,1,0,42.5,8.9,Very High,40-49,1,297000.0,-1
5008941,F,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-7,0,0,0,42.5,8.9,Very High,40-49,1,297000.0,-7
5008942,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2.0,-43,-28,0,0,37.4,13.3,Very High,30-39,3,157500.0,-15
5008943,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2.0,-14,0,0,0,37.4,13.3,Very High,30-39,3,157500.0,-14
5008944,F,0,0,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2.0,-23,-8,4,0,37.4,13.3,Very High,30-39,3,157500.0,-15
