ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,CREDIT_HISTORY_LENGTH,BAD_DEBT_RATIO,AVERAGE_DELAYED_MONTHS,IS_BAD
5068034,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17614,-4219,1,0,0,0,Sales staff,2.0,29,0.06896551724137931,1.0,1
5112968,M,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-14998,-4663,1,1,1,0,Laborers,2.0,20,0.0,0.0,0
5024847,F,N,Y,0,157500.0,Working,Higher education,Single / not married,House / apartment,-11511,-519,1,0,0,0,High skill tech staff,1.0,14,0.0,0.0,0
5113113,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15423,-3231,1,1,1,0,Laborers,2.0,22,0.0,0.0,0
5054061,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424,-1458,1,0,0,0,Drivers,3.0,22,0.045454545454545456,1.0,1
5029306,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15575,-139,1,0,0,0,Drivers,4.0,7,0.0,0.0,0
5126779,F,N,Y,1,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-17992,-9419,1,0,1,0,Laborers,2.0,20,0.05,1.0,1
5117281,M,Y,Y,1,180000.0,Working,Higher education,Married,House / apartment,-14082,-1800,1,0,0,0,Managers,3.0,20,0.0,0.0,0
5139892,F,N,Y,0,112500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-18484,-6033,1,0,1,0,Medicine staff,2.0,16,0.0,0.0,0
5025060,M,Y,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-11728,-3199,1,0,0,0,High skill tech staff,2.0,17,0.0,0.0,0
5089075,F,Y,N,2,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11023,-2652,1,1,0,0,Laborers,4.0,23,0.0,0.0,0
5054627,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,-14967,-2403,1,0,1,0,Managers,3.0,12,0.0,0.0,0
5143363,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-22811,-2234,1,1,1,0,High skill tech staff,2.0,9,0.0,0.0,0
5143624,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15922,-2086,1,0,0,0,Sales staff,2.0,44,0.022727272727272728,1.0,1
5061476,M,Y,Y,1,324000.0,Working,Higher education,Married,House / apartment,-11296,-3181,1,1,1,0,High skill tech staff,3.0,21,0.23809523809523808,1.0,1
5091433,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13322,-808,1,0,0,0,Low-skill Laborers,2.0,10,0.0,0.0,0
5105429,F,Y,Y,3,90000.0,Working,Higher education,Married,House / apartment,-10356,-2317,1,0,0,0,Medicine staff,5.0,12,0.0,0.0,0
5054432,F,N,Y,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10976,-668,1,0,0,0,High skill tech staff,3.0,9,0.0,0.0,0
5118366,F,N,N,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10456,-1953,1,1,0,0,Medicine staff,2.0,20,0.0,0.0,0
5126004,M,Y,Y,2,171000.0,Working,Secondary / secondary special,Married,House / apartment,-13344,-1230,1,0,0,0,Core staff,4.0,19,0.0,0.0,0
5091119,M,N,Y,1,292500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14785,-3018,1,1,1,0,Laborers,3.0,3,0.0,0.0,0
5105030,M,N,Y,0,225000.0,Working,Incomplete higher,Married,House / apartment,-11616,-3344,1,1,1,0,Laborers,2.0,45,0.0,0.0,0
5045055,M,N,Y,2,675000.0,State servant,Secondary / secondary special,Married,House / apartment,-14163,-6886,1,0,1,0,Drivers,4.0,2,0.0,0.0,0
5137208,M,Y,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18472,-1661,1,1,0,0,Drivers,2.0,28,0.0,0.0,0
5096007,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-9943,-554,1,1,0,0,Managers,3.0,13,0.07692307692307693,1.0,1
5132795,F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-18540,-1534,1,0,0,0,Sales staff,1.0,2,0.0,0.0,0
5021456,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19040,-1070,1,1,1,0,Sales staff,2.0,8,0.0,0.0,0
5036488,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-18520,-7268,1,1,1,0,Core staff,2.0,3,0.0,0.0,0
5135588,M,Y,Y,2,265500.0,Working,Higher education,Married,House / apartment,-11630,-1904,1,0,0,0,Laborers,4.0,3,0.0,0.0,0
5116910,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18162,-6761,1,1,1,0,Laborers,2.0,32,0.0625,1.0,1
5117619,F,N,N,0,166500.0,Working,Higher education,Married,House / apartment,-21466,-3992,1,0,0,0,Core staff,2.0,31,0.0,0.0,0
5112825,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9994,-1427,1,0,0,1,Sales staff,2.0,38,0.0,0.0,0
5010077,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,-12518,-1135,1,0,0,0,Cleaning staff,4.0,19,0.0,0.0,0
5074575,F,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,With parents,-10097,-3052,1,0,0,0,Laborers,1.0,9,0.0,0.0,0
5009733,F,Y,N,0,270000.0,Commercial associate,Higher education,Married,House / apartment,-19341,-7314,1,1,1,0,Managers,2.0,50,0.0,0.0,0
5132952,F,N,Y,1,157500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-12676,-1350,1,0,0,0,Waiters/barmen staff,2.0,2,0.0,0.0,0
5023506,F,N,Y,0,207000.0,State servant,Secondary / secondary special,Widow,House / apartment,-19876,-5865,1,0,0,0,Medicine staff,1.0,29,0.0,0.0,0
5089544,F,N,N,1,135000.0,Working,Higher education,Separated,House / apartment,-13108,-2043,1,0,1,0,Core staff,2.0,41,0.0,0.0,0
5062282,M,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8353,-1081,1,1,0,1,Core staff,2.0,19,0.0,0.0,0
5068591,F,N,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,-13673,-2667,1,0,0,0,Core staff,3.0,44,0.0,0.0,0
5054307,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10116,-880,1,0,0,0,Laborers,3.0,10,0.0,0.0,0
5024303,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-8351,-124,1,0,0,0,Drivers,1.0,2,0.0,0.0,0
5067876,M,Y,Y,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17543,-2851,1,0,1,0,Drivers,3.0,20,0.0,0.0,0
5069032,M,Y,N,0,157500.0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-8466,-1236,1,0,0,0,Laborers,1.0,13,0.0,0.0,0
5116247,F,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-22334,-14810,1,0,0,0,Medicine staff,2.0,54,0.0,0.0,0
5023007,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13779,-1878,1,0,0,0,Sales staff,2.0,51,0.0196078431372549,1.0,1
5023655,F,N,N,0,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-10229,-1209,1,0,0,0,Accountants,1.0,14,0.0,0.0,0
5029191,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-11979,-2959,1,0,0,0,Sales staff,2.0,20,0.0,0.0,0
5089164,F,Y,N,0,148500.0,Commercial associate,Higher education,Married,House / apartment,-12655,-2043,1,1,0,0,High skill tech staff,2.0,29,0.0,0.0,0
5115790,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14578,-7346,1,0,0,0,Laborers,2.0,27,0.0,0.0,0
5065818,F,N,Y,1,81000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14494,-1516,1,0,1,0,Core staff,3.0,18,0.0,0.0,0
5008991,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1.0,29,0.0,0.0,0
5033610,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-18667,-7020,1,0,0,0,Core staff,2.0,46,0.0,0.0,0
5097120,M,N,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19225,-5970,1,0,0,0,Laborers,2.0,60,0.0,0.0,0
5067377,F,Y,Y,0,315000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-9130,-1390,1,0,1,0,Core staff,1.0,28,0.0,0.0,0
5114201,M,Y,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14136,-2628,1,1,0,0,Managers,4.0,57,0.017543859649122806,1.0,1
5041263,F,N,Y,0,99000.0,State servant,Higher education,Married,House / apartment,-18563,-8284,1,1,1,0,Laborers,2.0,33,0.0,0.0,0
5125430,F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,-22022,-12949,1,0,0,0,Core staff,1.0,7,0.0,0.0,0
5149628,M,Y,Y,0,382500.0,Working,Higher education,Married,House / apartment,-10446,-2420,1,0,0,0,Laborers,2.0,14,0.07142857142857142,1.0,1
5111188,F,Y,N,1,225000.0,Working,Higher education,Married,With parents,-10959,-1881,1,0,0,0,Secretaries,3.0,32,0.0,0.0,0
5074662,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-21742,-3144,1,0,0,0,Laborers,2.0,6,0.0,0.0,0
5089857,F,Y,N,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-15732,-95,1,0,0,1,Sales staff,3.0,23,0.0,0.0,0
5028685,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9582,-3003,1,0,0,1,Laborers,2.0,3,0.0,0.0,0
5010471,M,Y,Y,0,675000.0,State servant,Higher education,Married,House / apartment,-11912,-2200,1,0,0,0,High skill tech staff,2.0,32,0.0,0.0,0
5067741,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,-9192,-1308,1,0,1,0,High skill tech staff,3.0,16,0.0,0.0,0
5009358,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19692,-5273,1,1,1,0,Laborers,2.0,26,0.0,0.0,0
5116126,F,Y,Y,1,560250.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12987,-2330,1,0,0,0,Sales staff,2.0,16,0.0,0.0,0
5112992,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-20689,-708,1,0,0,0,Laborers,2.0,41,0.0,0.0,0
5054589,M,Y,Y,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15389,-607,1,0,0,0,Laborers,1.0,27,0.0,0.0,0
5046440,M,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,-16783,-473,1,0,1,0,Core staff,2.0,17,0.0,0.0,0
5067598,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14926,-789,1,0,0,0,Cooking staff,2.0,18,0.0,0.0,0
5045877,M,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9725,-139,1,0,0,0,Drivers,3.0,33,0.0,0.0,0
5113538,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-20976,-1776,1,0,0,0,Laborers,2.0,17,0.0,0.0,0
5089756,F,N,N,0,58500.0,Working,Secondary / secondary special,Married,House / apartment,-13769,-582,1,0,1,0,Security staff,2.0,12,0.0,0.0,0
5132784,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8854,-195,1,1,0,0,Laborers,1.0,2,0.0,0.0,0
5046359,M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16224,-2574,1,0,0,0,Security staff,2.0,16,0.0,0.0,0
5067088,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13643,-4663,1,0,1,0,Laborers,2.0,17,0.0,0.0,0
5052852,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-14197,-1389,1,0,0,0,Sales staff,4.0,52,0.0,0.0,0
5126264,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9509,-2662,1,1,1,0,Drivers,4.0,6,0.0,0.0,0
5143106,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-8899,-2326,1,1,1,0,Waiters/barmen staff,2.0,40,0.0,0.0,0
5142620,F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-14846,-1292,1,1,1,0,High skill tech staff,2.0,41,0.0,0.0,0
5148817,F,Y,Y,0,135000.0,Working,Higher education,Civil marriage,House / apartment,-19841,-4428,1,1,1,0,Managers,2.0,26,0.0,0.0,0
5068265,F,N,N,2,157500.0,State servant,Higher education,Married,House / apartment,-12636,-5345,1,0,0,0,Medicine staff,4.0,7,0.0,0.0,0
5137296,M,Y,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-15243,-7260,1,1,1,0,High skill tech staff,3.0,25,0.0,0.0,0
5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,-18836,-931,1,1,1,0,Laborers,2.0,60,0.48333333333333334,4.517241379310345,1
5095488,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15554,-96,1,0,1,0,Laborers,2.0,11,0.0,0.0,0
5010650,M,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-8843,-495,1,1,1,0,Laborers,3.0,5,0.0,0.0,0
5023500,F,N,N,1,63000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16817,-4618,1,0,0,0,Cleaning staff,2.0,8,0.0,0.0,0
5029675,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13165,-1022,1,0,0,0,Drivers,3.0,5,0.0,0.0,0
5115463,M,N,N,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-9361,-164,1,1,0,0,Waiters/barmen staff,2.0,4,0.0,0.0,0
5139880,F,Y,Y,0,720000.0,Commercial associate,Higher education,Separated,House / apartment,-20791,-4814,1,1,1,0,Managers,1.0,59,0.0,0.0,0
5105915,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12640,-399,1,0,0,0,Accountants,3.0,22,0.045454545454545456,1.0,1
5036801,M,N,N,0,148500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14122,-1193,1,0,0,1,Laborers,1.0,5,0.0,0.0,0
5010982,M,Y,N,1,270000.0,Working,Incomplete higher,Married,House / apartment,-15053,-3386,1,0,0,0,Managers,3.0,26,0.0,0.0,0
5065395,M,Y,N,0,396000.0,Commercial associate,Higher education,Married,House / apartment,-12574,-2453,1,1,1,0,Managers,2.0,14,0.0,0.0,0
5125352,F,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13005,-683,1,0,0,0,High skill tech staff,1.0,46,0.0,0.0,0
5046107,F,N,Y,2,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13643,-3883,1,0,0,0,Cleaning staff,4.0,2,0.0,0.0,0
5041644,F,Y,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14186,-1736,1,0,1,0,Sales staff,3.0,6,0.0,0.0,0
5112705,M,N,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,With parents,-9353,-239,1,0,0,0,Laborers,2.0,4,0.0,0.0,0
5058359,M,Y,N,0,540000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-10499,-1727,1,0,0,0,Sales staff,1.0,11,0.0,0.0,0
5053363,F,N,Y,0,238500.0,Working,Higher education,Married,House / apartment,-20517,-2971,1,1,1,0,Sales staff,2.0,50,0.0,0.0,0
5116474,M,Y,Y,2,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13383,-489,1,0,1,0,Drivers,4.0,14,0.0,0.0,0
5022683,F,N,N,0,157500.0,Working,Secondary / secondary special,Separated,With parents,-14309,-548,1,1,1,0,Sales staff,1.0,11,0.0,0.0,0
5106050,F,Y,N,2,81000.0,Working,Higher education,Married,House / apartment,-12358,-3017,1,1,0,0,Sales staff,4.0,11,0.0,0.0,0
5008914,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,19,0.05263157894736842,1.0,1
5113993,F,N,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13446,-2720,1,0,0,0,Sales staff,4.0,33,0.030303030303030304,1.0,1
5118416,F,N,N,2,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-12079,-1984,1,0,0,0,Core staff,4.0,5,0.0,0.0,0
